root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;1;0;0;0;0;0;0;0;0;3;3;6;0.054709;0.007714
1;1;0;0;0;0;0;0;0;0;4;3;6;0.042000;0.011592
1;1;0;0;0;0;0;0;0;0;5;3;6;0.038052;0.013764
1;1;0;0;0;0;0;0;0;0;6;3;6;0.040595;0.037315
1;1;0;0;0;0;0;0;0;0;7;3;6;0.034158;0.007007
1;1;0;0;0;0;0;0;0;0;8;3;6;0.036336;0.010691
1;1;0;0;0;0;0;0;0;0;9;3;6;0.049344;0.006271
1;1;0;0;0;0;0;0;0;0;1;4;6;0.042128;0.008554
1;1;0;0;0;0;0;0;0;0;2;4;6;0.010002;0.007592
1;1;0;0;0;0;0;0;0;0;3;4;6;0.048764;0.022104
1;1;0;0;0;0;0;0;0;0;4;4;6;0.027087;0.011628
1;1;0;0;0;0;0;0;0;0;5;4;6;0.012470;0.006591
1;1;0;0;0;0;0;0;0;0;6;4;6;0.030944;0.011977
1;1;0;0;0;0;0;0;0;0;7;4;6;0.030081;0.008919
1;1;0;0;0;0;0;0;0;0;8;4;6;0.048356;0.005376
1;1;0;0;0;0;0;0;0;0;9;4;6;0.019972;0.005947
1;1;0;0;0;0;0;0;0;0;1;1;18;0.028615;0.010155
1;1;0;0;0;0;0;0;0;0;2;1;18;0.023690;0.002733
1;1;0;0;0;0;0;0;0;0;3;1;18;0.051699;0.011366
1;1;0;0;0;0;0;0;0;0;4;1;18;0.037428;0.006938
1;1;0;0;0;0;0;0;0;0;5;1;18;0.021319;0.013192
1;1;0;0;0;0;0;0;0;0;6;1;18;0.022291;0.004917
1;1;0;0;0;0;0;0;0;0;7;1;18;0.029744;0.005599
1;1;0;0;0;0;0;0;0;0;8;1;18;0.026544;0.008625
1;1;0;0;0;0;0;0;0;0;9;1;18;0.018612;0.015998
1;1;0;0;0;0;0;0;0;0;1;2;18;0.047136;0.011657
1;1;0;0;0;0;0;0;0;0;2;2;18;0.037222;0.010975
1;1;0;0;0;0;0;0;0;0;3;2;18;0.042400;0.008895
1;1;0;0;0;0;0;0;0;0;4;2;18;0.040904;0.012492
1;1;0;0;0;0;0;0;0;0;5;2;18;0.021561;0.014999
1;1;0;0;0;0;0;0;0;0;6;2;18;0.061315;0.045455
1;1;0;0;0;0;0;0;0;0;7;2;18;0.050061;0.008894
1;1;0;0;0;0;0;0;0;0;8;2;18;0.027027;0.012402
1;1;0;0;0;0;0;0;0;0;9;2;18;0.020546;0.014487
1;1;0;0;0;0;0;0;0;0;1;3;18;0.038760;0.010146
1;1;0;0;0;0;0;0;0;0;2;3;18;0.053232;0.031050
1;1;0;0;0;0;0;0;0;0;3;3;18;0.045114;0.011109
1;1;0;0;0;0;0;0;0;0;4;3;18;0.045637;0.006925
1;1;0;0;0;0;0;0;0;0;5;3;18;0.017510;0.010128
1;1;0;0;0;0;0;0;0;0;6;3;18;0.042799;0.004227
1;1;0;0;0;0;0;0;0;0;7;3;18;0.032097;0.028531
1;1;0;0;0;0;0;0;0;0;8;3;18;0.037266;0.011026
1;1;0;0;0;0;0;0;0;0;9;3;18;0.047868;0.011185
1;1;0;0;0;0;0;0;0;0;1;4;18;0.045423;0.006033
1;1;0;0;0;0;0;0;0;0;2;4;18;0.051203;0.042741
1;1;0;0;0;0;0;0;0;0;3;4;18;0.040209;0.020721
1;1;0;0;0;0;0;0;0;0;4;4;18;0.038709;0.014441
