root;ee_instrument;simplifycfg;ipsccp;called_value_propagation;basicaa;instcombine;inline;mergereturn;jump_threading;pgo_memop_opt;tailcallelim;licm;sink;gvn;sccp;adce;performance;energy
1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;58146.000000;1991.000000
1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;58306.400000;2013.200000
1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;57335.000000;1968.600000
1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;58793.200000;2012.000000
1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;57504.400000;1993.000000
1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;58863.400000;2036.800000
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;56539.000000;1939.400000
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;56462.800000;1925.600000
1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;58912.400000;2024.000000
1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;58981.200000;2011.400000
1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;59520.000000;2046.400000
1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;60004.600000;2041.000000
1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;59571.000000;2038.800000
1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;59945.200000;2055.000000
1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;59983.600000;2029.000000
1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;59908.400000;2054.400000
