root,asm,wpp,rdoLevel,rdoBasic,rdoSplits,rdoChroma,rdoPrediction,rect,amp,bitdepth,8bit,10bit,me,meDia,meHex,meUmh,meStar,frameThreads,frameThreads_1,frameThreads_2,frameThreads_4,frameThreads_8,ref,ref_1,ref_3,ref_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,10.75,10.76,0.035355,0.001076,0.0,240
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,10.9,10.866,0.04669,0.001076,0.0,254
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,13.55,13.548,0.022804,0.001076,0.0,268
1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,10.58,10.582,0.013038,0.001053,0.0,283
1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,12.3,12.296,0.015166,0.001058,0.0,297
1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,1.53,1.532,0.029496,0.001306,0.0,136
1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,6.63,6.63,0.049497,0.001098,0.0,122
1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,4.96,4.966,0.045056,0.001115,0.0,37
1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,7.58,7.58,0.044159,0.001068,0.0,23
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,7.4,7.386,0.048785,0.001066,0.0,334
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,14.09,14.096,0.019494,0.001078,0.0,320
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,5.38,5.358,0.037683,0.001099,0.0,308
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,7.12,7.12,0.018708,0.001086,0.0,309
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,akiyo_cif.y4m,7.5,7.498,0.044944,0.001095,0.0,321
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,18.49,18.452,0.079183,0.001053,0.0,335
1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,akiyo_cif.y4m,7.54,7.548,0.025884,0.001068,0.0,22
1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,8.14,8.134,0.015166,0.001071,0.0,36
1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,akiyo_cif.y4m,4.3,4.312,0.042071,0.001076,0.0,123
1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,1.38,1.372,0.010954,0.001306,0.0,137
