OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config,workload,throughput
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,tpcc-8,960.391341639879
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,ycsb-600,26297.6675359373
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,voter-2,47338.5999439827
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,voter-16,46758.9832631949
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,ycsb-2400,16597.6693163142
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,smallbank-10,18145.8643769463
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,39,tpcc-2,892.022707633175
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,smallbank-10,17667.5375214182
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,tpcc-2,874.113004599371
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,ycsb-2400,19841.967122976
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,voter-2,47393.6832638226
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,voter-16,48814.1166447003
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,tpcc-8,982.482643597768
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,smallbank-1,25814.8185381751
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,40,ycsb-600,26783.544140374
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,ycsb-2400,12415.4846451622
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,smallbank-10,17476.8292559023
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,tpcc-2,842.580071846305
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,tpcc-8,295.546529810866
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,smallbank-1,23888.242688187
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,ycsb-600,18433.8085186446
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,voter-2,46232.1332793958
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,41,voter-16,45564.3831525946
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,voter-2,32734.8499105247
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,voter-16,32193.6833097246
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,smallbank-1,19997.9177350469
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,tpcc-8,459.563262635624
