root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;0;1;1;1;64;8;4096;8.3.0;46617.400000;1505.600000
1;0;0;1;1;1;128;8;4096;8.3.0;46649.400000;1541.400000
1;0;0;1;1;1;256;8;4096;8.3.0;46812.000000;1510.000000
1;0;0;1;1;1;64;32;4096;8.3.0;46738.600000;1507.000000
1;0;0;1;1;1;128;32;4096;8.3.0;46593.600000;1534.200000
1;0;0;1;1;1;256;32;4096;8.3.0;46299.200000;1485.200000
1;0;1;0;0;0;64;2;256;8.3.0;46500.400000;1481.400000
1;0;1;0;0;0;128;2;256;8.3.0;46022.800000;1464.200000
1;0;1;0;0;0;256;2;256;8.3.0;46440.000000;1538.600000
1;0;1;0;0;0;64;8;256;8.3.0;46403.800000;1523.000000
1;0;1;0;0;0;128;8;256;8.3.0;46318.000000;1470.000000
1;0;1;0;0;0;256;8;256;8.3.0;46335.600000;1492.200000
1;0;1;0;0;0;64;32;256;8.3.0;46122.200000;1449.400000
1;0;1;0;0;0;128;32;256;8.3.0;46158.400000;1503.800000
1;0;1;0;0;0;256;32;256;8.3.0;46178.000000;1452.200000
1;0;1;0;0;0;64;2;1024;8.3.0;46111.600000;1493.400000
1;0;1;0;0;0;128;2;1024;8.3.0;46240.800000;1423.800000
1;0;1;0;0;0;256;2;1024;8.3.0;46248.800000;1484.000000
1;0;1;0;0;0;64;8;1024;8.3.0;46294.000000;1457.400000
1;0;1;0;0;0;128;8;1024;8.3.0;45980.800000;1494.400000
1;0;1;0;0;0;256;8;1024;8.3.0;46097.600000;1471.200000
1;0;1;0;0;0;64;32;1024;8.3.0;46224.000000;1465.400000
1;0;1;0;0;0;128;32;1024;8.3.0;46341.000000;1478.000000
1;0;1;0;0;0;256;32;1024;8.3.0;46094.800000;1496.800000
1;0;1;0;0;0;64;2;4096;8.3.0;46154.000000;1458.400000
1;0;1;0;0;0;128;2;4096;8.3.0;46368.800000;1491.800000
1;0;1;0;0;0;256;2;4096;8.3.0;46096.400000;1469.200000
1;0;1;0;0;0;64;8;4096;8.3.0;46264.800000;1495.000000
1;0;1;0;0;0;128;8;4096;8.3.0;46379.200000;1471.000000
1;0;1;0;0;0;256;8;4096;8.3.0;46102.000000;1464.400000
